id;nombre;gen;N1;N2;N3;N4;N5;N6;nhermanos;conducta
1;Juan;Masculino;5,2;5;4,8;5,5;5,8;6,2;0;Mala
2;Pedro;Masculino;4,7;3,8;4,4;5,7;4,6;6,6;2;Regular
3;Marta;Femenino;3,2;4;4,9;6,2;5,1;6,5;2;Buena
4;Carmen;Femenino;4,8;4,6;4,8;5,1;5;5,2;1;Regular
5;Emilio;Masculino;5,8;5,6;5,9;5,8;6,4;6,2;3;Buena
6;Aurora;Femenino;6,8;6,2;6,9;6,8;6,4;6,5;3;Buena
7;Rodrigo;Masculino;5,8;4,6;5,2;6,6;5,4;5,5;1;Regular
8;Silvia;Femenino;3,8;3,6;3,2;4,6;3,4;4,5;0;Regular
9;Patricia;Femenino;3,4;3,8;4,2;4,6;5,4;4,5;2;Buena
10;Andres;Masculino;2,4;3,8;3,2;3,6;2,4;4,5;4;Mala
11;Fran;Femenino;5,4;4,8;5,2;5,6;4,4;5,5;2;Buena
12;Roberto;Masculino;5,8;5,8;6,2;6,6;6,4;6,5;5;Regular
13;Ines;Femenino;6;6,4;6,2;6,5;6,6;6,4;1;Regular
14;Isidora;Femenino;3,9;4,5;3,2;5;4,6;5,4;3;Regular
15;Marcela;Femenino;4,9;5,4;4,2;5,5;5,6;5,9;2;Buena
